"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200CS","Commercial services (Services excl. government services)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","a) Includes FISIM (Financial Intermediation Services Indirectly Measured), with partner World only. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200CS","Commercial services (Services excl. government services)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200CS","Commercial services (Services excl. government services)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S249","Construction","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S263","Computer services","-","-","-","-","USM","Million US dollar","Coverage","a) Figures are estimated by UNCTAD-WTO. They are estimated based on data reported on computer services by the Reserve Bank of India and exclude estimates for Information Technology Enabled Services (ITES) and Business Process Outsourcing Services (BPO), (source:  RBI, Survey on Computer Software & Information Technology Services Exports, various issues), which have been included under other business services. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S249","Construction","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S249","Construction","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S236","Travel","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S260","Financial services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","446","MAC","Macao, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S263","Computer services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","643","RUS","Russian Federation","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S263","Computer services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S262","Computer and information services","-","-","-","-","USM","Million US dollar","Coverage","a) Figures are estimated by UNCTAD-WTO. They are estimated based on data reported on computer services by the Reserve Bank of India and exclude estimates for Information Technology Enabled Services (ITES) and Business Process Outsourcing Services (BPO), (source:  RBI, Survey on Computer Software & Information Technology Services Exports, various issues), which have been included under other business services. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","344","HKG","Hong Kong, China","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Merchandise trade - indices and prices","ITS_MTP_AMF","Merchandise import value fixed-base indices - annual","344","HKG","Hong Kong, China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","ID15","2015=100","Coverage","Beginning 2010: UV index as weighted average of national UVI (excluding gold) and gold UVI (through GTIS GTA). Volume is derived."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Trade system","General trade"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Trade system","General trade"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Method of valuation","fob"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","-","-","-","-","USM","Million US dollar","Method of valuation","Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","-","-","-","-","USM","Million US dollar","Method of valuation","2000 onwards: Imports are valued f.o.b."
